model,context_length,MAE,RMSE,MASE,Directional_Accuracy
amazon/chronos-t5-tiny,30,11.66475743381852,17.27035802265858,1.0262974982177087,49.96655518394649
amazon/chronos-t5-tiny,63,11.617702263595154,17.282102578977167,1.0148739649239111,50.95759233926128
amazon/chronos-t5-tiny,126,11.830593742122883,17.498384220928468,1.0093660782681222,52.251608291636884
amazon/chronos-t5-tiny,252,12.421176802970649,18.17150400568922,1.0097484975860835,50.903377847604084
amazon/chronos-t5-small,30,11.706695981882845,17.297438236759437,1.0299873672271158,49.030100334448164
amazon/chronos-t5-small,63,11.595302703033228,17.206781399781864,1.0129172328331542,50.273597811217506
amazon/chronos-t5-small,126,11.825220755414817,17.489794899933933,1.0089076642070596,50.964974982130094
amazon/chronos-t5-small,252,12.385774086218598,18.150525543487795,1.0068705222848786,51.76747839748626
amazon/chronos-t5-base,30,11.740009324154459,17.36047874466572,1.0329183668663802,47.759197324414714
amazon/chronos-t5-base,63,11.640594437686078,17.300528525111485,1.0168737296758608,49.3844049247606
amazon/chronos-t5-base,126,11.812978752603716,17.470776680428656,1.0078631974087795,47.81987133666905
amazon/chronos-t5-base,252,12.359607956646894,18.11642857086752,1.0047434122338927,48.70384917517675
